M,rho,R,L,P,T,Epsilon,kappa,Deltaad,Delta,nature
2.854E+21,7.694E+01,2.069E+06,2.057E+23,1.798E+17,1.728E+07,72.063,0.982,0.400,0.400,radiative
2.283E+31,7.332E+01,4.177E+09,1.325E+33,1.660E+17,1.673E+07,50.100,1.020,0.400,0.400,radiative
4.567E+31,7.121E+01,5.293E+09,2.359E+33,1.581E+17,1.641E+07,41.217,1.047,0.400,0.400,radiative
6.850E+31,6.945E+01,6.089E+09,3.229E+33,1.516E+17,1.614E+07,35.360,1.071,0.400,0.400,radiative
9.134E+31,6.787E+01,6.733E+09,3.985E+33,1.459E+17,1.589E+07,31.041,1.094,0.400,0.400,radiative
1.142E+32,6.643E+01,7.283E+09,4.653E+33,1.407E+17,1.567E+07,27.697,1.116,0.400,0.400,radiative
1.370E+32,6.509E+01,7.770E+09,5.253E+33,1.360E+17,1.545E+07,24.997,1.137,0.400,0.400,radiative
1.598E+32,6.381E+01,8.212E+09,5.798E+33,1.316E+17,1.525E+07,22.744,1.158,0.400,0.400,radiative
1.827E+32,6.260E+01,8.619E+09,6.295E+33,1.275E+17,1.506E+07,20.837,1.178,0.400,0.397,convective
2.055E+32,6.143E+01,8.996E+09,6.752E+33,1.236E+17,1.487E+07,19.198,1.199,0.400,0.392,convective
2.283E+32,6.031E+01,9.350E+09,7.173E+33,1.199E+17,1.470E+07,17.771,1.218,0.400,0.388,convective
2.512E+32,5.921E+01,9.685E+09,7.563E+33,1.164E+17,1.453E+07,16.514,1.230,0.400,0.381,convective
2.740E+32,5.814E+01,1.000E+10,7.926E+33,1.130E+17,1.437E+07,15.394,1.237,0.400,0.374,convective
2.968E+32,5.709E+01,1.031E+10,8.266E+33,1.097E+17,1.421E+07,14.388,1.244,0.400,0.367,convective
3.197E+32,5.605E+01,1.060E+10,8.584E+33,1.066E+17,1.407E+07,13.477,1.251,0.400,0.361,convective
3.425E+32,5.502E+01,1.089E+10,8.882E+33,1.036E+17,1.392E+07,12.648,1.257,0.400,0.354,convective
3.653E+32,5.402E+01,1.116E+10,9.162E+33,1.007E+17,1.379E+07,11.888,1.262,0.400,0.348,convective
3.882E+32,5.303E+01,1.143E+10,9.426E+33,9.789E+16,1.365E+07,11.189,1.270,0.400,0.343,convective
4.110E+32,5.205E+01,1.169E+10,9.674E+33,9.518E+16,1.352E+07,10.541,1.284,0.400,0.339,convective
4.338E+32,5.110E+01,1.194E+10,9.907E+33,9.255E+16,1.339E+07,9.939,1.298,0.400,0.336,convective
4.567E+32,5.016E+01,1.219E+10,1.013E+34,9.001E+16,1.327E+07,9.377,1.312,0.400,0.333,convective
4.795E+32,4.923E+01,1.243E+10,1.034E+34,8.753E+16,1.315E+07,8.852,1.325,0.400,0.330,convective
5.023E+32,4.832E+01,1.266E+10,1.053E+34,8.513E+16,1.303E+07,8.359,1.339,0.400,0.327,convective
5.252E+32,4.742E+01,1.290E+10,1.072E+34,8.280E+16,1.291E+07,7.896,1.352,0.400,0.324,convective
